Date,Period,Actual,Curtailment,Available,InstalledCapacity,CF,CurtailmentRate
2024-09-10,6,10442.406,3264.876,13707.282,31781.0,0.3285738648878261,0.23818551336435628
2024-09-10,7,10638.286,3192.732,13831.018,31781.0,0.33473729586860074,0.23083853986741973
2024-09-10,8,10755.204,3429.816,14185.02,31781.0,0.33841616059910007,0.24179141093914563
2024-09-10,9,10968.602,3631.678,14600.28,31781.0,0.34513080142223346,0.2487402981312687
2024-09-10,10,11132.164,4173.238,15305.402000000002,31781.0,0.35027733551493034,0.2726643834640867
2024-09-10,11,11430.622,5105.006,16535.628,31781.0,0.3596684182373116,0.30872767577983734
2024-09-10,12,11409.886,5597.318,17007.204,31781.0,0.35901595292785,0.32911453287677384
2024-09-10,13,11083.504,6130.6720000000005,17214.176,31781.0,0.34874623202542404,0.356140892250666
2024-09-10,14,11205.313999999998,6128.686,17334.0,31781.0,0.352579025203738,0.3535644398292373
2024-09-10,15,11262.214,6286.92,17549.134,31781.0,0.3543694031024826,0.35824673741735635
2024-09-10,16,11377.344,6270.82,17648.163999999997,31781.0,0.3579920078034045,0.35532421389556446
2024-09-10,17,11426.252,6212.812,17639.064,31781.0,0.35953091469746074,0.3522189159243371
2024-09-10,18,11395.944,6477.136,17873.08,31781.0,0.35857726314464616,0.3623961846531208
2024-09-10,19,11269.016,6585.6,17854.616,31781.0,0.35458343035146783,0.3688457931551146
2024-09-10,20,11206.502,6624.216,17830.718,31781.0,0.3526164060287593,0.3715058473809075
2024-09-10,21,11417.81,6588.734,18006.544,31781.0,0.3592652842893553,0.3659077499824508
2024-09-10,22,11570.622,6267.638,17838.26,31781.0,0.36407356596708723,0.35135926934577705
2024-09-10,23,11761.102,6271.018,18032.120000000003,31781.0,0.37006708410685635,0.3477693138688074
2024-09-10,24,11929.102,6195.382,18124.484,31781.0,0.3753532613825871,0.341823910683471
2024-09-10,25,11956.634,6213.4,18170.034,31781.0,0.3762195651489884,0.3419586336492271
2024-09-10,26,11906.883999999998,6044.64,17951.523999999998,31781.0,0.37465416443787164,0.3367201581325352
2024-09-10,27,11672.41,6048.666,17721.076,31781.0,0.36727636008936154,0.3413261136061941
2024-09-10,28,11826.066,6062.712,17888.778,31781.0,0.37211119851483593,0.33891146728971655
2024-09-10,29,11897.556,5958.616,17856.172,31781.0,0.37436065573770494,0.3337006386363214
2024-09-10,30,12014.906,5549.79,17564.696,31781.0,0.37805311349548476,0.3159627698651887
2024-09-10,31,11878.23,5385.704,17263.934,31781.0,0.3737525565589503,0.31196273109014433
2024-09-10,32,11770.576,5289.0,17059.576,31781.0,0.37036518674679836,0.31003115200518466
2024-09-10,33,11324.562,5160.018,16484.58,31781.0,0.35633120417859726,0.31302089589179705
2024-09-10,34,11517.32,5084.948,16602.268,31781.0,0.36239640036499793,0.30628032266434924
2024-09-10,35,11472.008,4881.626,16353.634,31781.0,0.36097064283691516,0.29850405114850925
2024-09-10,36,11007.644,4509.356,15517.0,31781.0,0.34635927126270416,0.2906074627827544
2024-09-10,37,11211.276,4222.928,15434.204,31781.0,0.35276662156634464,0.2736084089597364
