Date,Period,Actual,Curtailment,Available
2023-04-23,34,4858.418,1080.832,5939.25
2023-04-23,35,4827.894,1158.616,5986.51
2023-04-23,36,4902.168,1215.026,6117.1939999999995
2023-04-23,37,5140.076,1408.398,6548.474
2023-04-23,38,5112.706,1415.264,6527.97
2023-04-23,39,5717.802,1310.02,7027.822
2023-04-23,40,6170.8060000000005,1346.418,7517.224
2023-04-23,41,6808.7919999999995,1349.068,8157.86
2023-04-23,42,6931.504000000001,1333.652,8265.156
2023-04-23,43,7087.82,1337.576,8425.396
2023-04-23,44,7333.048000000001,1270.936,8603.984
2023-04-23,45,7891.816,1163.818,9055.634
2023-04-23,46,8293.272,1098.232,9391.504
2023-04-23,47,8238.384,1060.236,9298.62
2023-04-23,48,8114.782,1040.402,9155.184000000001
2023-04-24,1,8493.138,982.566,9475.704000000002
2023-04-24,2,8769.655999999999,900.6179999999999,9670.274
2023-04-24,3,8559.006000000001,852.566,9411.572000000002
2023-04-24,4,8359.892,725.948,9085.84
2023-04-24,5,8232.076,553.116,8785.192
2023-04-24,6,8194.204,509.966,8704.17
2023-04-24,7,8190.907999999999,655.9,8846.807999999999
2023-04-24,8,7998.058,553.034,8551.092
2023-04-24,9,7647.2,395.2,8042.4
2023-04-24,10,7575.0779999999995,387.08,7962.157999999999
2023-04-24,11,7544.898,476.5,8021.398
2023-04-24,12,7554.7300000000005,481.0,8035.7300000000005
2023-04-24,13,7312.849999999999,607.8,7920.65
2023-04-24,14,7360.7480000000005,317.032,7677.780000000001
2023-04-24,15,7217.358,92.736,7310.094
2023-04-24,16,6717.016,311.882,7028.897999999999
2023-04-24,17,6579.3859999999995,304.9,6884.285999999999
2023-04-24,18,6714.356,356.438,7070.794
2023-04-24,19,6590.486000000001,632.466,7222.952000000001
2023-04-24,20,6509.969999999999,707.072,7217.0419999999995
2023-04-24,21,6512.138,834.216,7346.354
2023-04-24,22,6402.488,865.5840000000001,7268.072
2023-04-24,23,6308.986000000001,917.8,7226.786000000001
2023-04-24,24,6092.762,922.134,7014.896
2023-04-24,25,6012.68,847.294,6859.974
2023-04-24,26,5952.024,787.984,6740.008000000001
2023-04-24,27,5854.3279999999995,790.968,6645.295999999999
2023-04-24,28,5818.782,624.966,6443.7480000000005
2023-04-24,29,5665.976,552.682,6218.657999999999
2023-04-24,30,5711.306,591.934,6303.24
2023-04-24,31,5891.282,555.05,6446.332
2023-04-24,32,6231.004,485.034,6716.038
2023-04-24,33,5956.7080000000005,476.984,6433.692000000001
2023-04-24,34,5871.474,341.48400000000004,6212.9580000000005
2023-04-24,35,6136.84,292.902,6429.742
2023-04-24,36,5836.474,285.358,6121.832
2023-04-24,37,5881.378000000001,85.32,5966.698
